year,team_name,conference,division,Jersey,player_name,Yr,Pos,GP,GS,BA,OBPct,SlgPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out,Ht,B/T,team_id,conference_id,player_id,player_url
2024,Adrian,Michigan Intercol. Ath. Assn.,3,32,Ben Bates,Fr,P,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,574722,873,8596333,http://stats.ncaa.org/players/8596333?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,5,Nic Bruder,Fr,INF,46,45,0.385,0.444,0.49,46,200,77,11,2,98,2,40,19,3,1,5,22,3,2,2,16,0,-,,574722,873,8596334,http://stats.ncaa.org/players/8596334?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,15,G. Gomez,N/A,rf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,574722,873,8596335,http://stats.ncaa.org/players/8596335?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,3,Andrew Atherton,Jr,INF,10,2,0,0.267,0,3,11,0,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0,-,,574722,873,8266781,http://stats.ncaa.org/players/8266781?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,21,Lincoln Lipinski,So,P,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,574722,873,8269990,http://stats.ncaa.org/players/8269990?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,45,Daniel Gutierrez,Jr,P,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,574722,873,8277685,http://stats.ncaa.org/players/8277685?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,1,Philip Vilardo,Jr,INF,13,5,0.267,0.353,0.333,3,15,4,1,0,5,0,3,2,0,0,3,5,0,0,0,0,0,-,,574722,873,8269018,http://stats.ncaa.org/players/8269018?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,9,Jack Boike,So,UT,41,33,0.28,0.445,0.39,25,100,28,4,2,39,1,25,24,9,4,8,20,2,2,1,3,0,-,,574722,873,8276463,http://stats.ncaa.org/players/8276463?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,24,Anthony Mannarino,Sr,P,13,2,0.333,0.389,0.333,0,15,5,0,0,5,0,5,2,0,1,0,8,0,0,0,0,0,-,,574722,873,8263613,http://stats.ncaa.org/players/8263613?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,42,Luc St. Antoine,Sr,P,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,574722,873,8276905,http://stats.ncaa.org/players/8276905?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,10,Joe Casale,Jr,OF,44,40,0.331,0.442,0.484,42,157,52,12,3,76,2,24,26,6,1,8,26,2,0,1,13,0,-,,574722,873,8271710,http://stats.ncaa.org/players/8271710?year_stat_category_id=15080
2024,Adrian,Michigan Intercol. Ath. Assn.,3,25,David Kedrow,Jr,INF,42,39,0.342,0.421,0.452,36,146,50,8,1,66,2,33,12,10,3,10,20,0,4,0,8,0,-,,574722,873,8271977,http://stats.ncaa.org/players/8271977?year_stat_category_id=15080
