"year","team_name","conference","division","Jersey","player_name","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","IBB","RBI2out","Ht","B/T","team_id","conference_id","player_id","player_url"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"20","Daniel Shipman","So","UT",7,3,0.4,0.417,0.4,1,10,4,0,0,4,0,2,1,0,1,0,1,0,0,0,2,0,0,"5-11","R/R",597209,873,8875736,"http://stats.ncaa.org/players/8875736?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"17","Ryan Davis","Sr","UT",35,35,0.338,0.447,0.554,38,130,44,11,1,72,5,38,23,5,3,5,17,1,0,1,3,0,0,"6-3","R/R",597209,873,8883992,"http://stats.ncaa.org/players/8883992?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"15","Gavino Gomez","So","INF",5,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5-8","R/R",597209,873,8884975,"http://stats.ncaa.org/players/8884975?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"2","Gus Weaks","Sr","INF",11,5,0.375,0.474,0.5,5,16,6,2,0,8,0,3,2,1,0,0,5,1,0,0,2,0,0,"5-11","R/R",597209,873,8885073,"http://stats.ncaa.org/players/8885073?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"25","David Kedrow","Sr","C",35,34,0.348,0.387,0.486,39,138,48,7,0,67,4,45,9,3,5,2,14,1,3,0,8,0,0,"6-2","R/R",597209,873,8874951,"http://stats.ncaa.org/players/8874951?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"26","Easton Rogers","Sr","UT",31,31,0.297,0.341,0.475,20,118,35,7,1,56,4,28,8,1,2,0,15,2,1,0,1,0,0,"6-0","R/R",597209,873,8875909,"http://stats.ncaa.org/players/8875909?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"34","Amrbose Horwath","So","P",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-1","L/L",597209,873,8884160,"http://stats.ncaa.org/players/8884160?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"36","Broc Shoemaker","Jr","P",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-0","L/L",597209,873,8878912,"http://stats.ncaa.org/players/8878912?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"29","Jaxon Clark","Jr","P",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-2","R/R",597209,873,8881182,"http://stats.ncaa.org/players/8881182?year_stat_category_id=15687"
2025,"Adrian","Michigan Intercol. Ath. Assn.",3,"47","Tyler Pfirrman","So","P",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6-6","R/R",597209,873,8887151,"http://stats.ncaa.org/players/8887151?year_stat_category_id=15687"
